Location,Fully vaccinated Unrounded,Fully vaccinated
AL,0.333,33.3
AK,0.445,44.5
AZ,0.44,44
AR,0.349,34.9
CA,0.511,51.1
CO,0.529,52.9
CT,0.617,61.7
DE,0.511,51.1
FL,0.47,47
GA,0.371,37.1
HI,0.526,52.6
ID,0.366,36.6
IL,0.471,47.1
IN,0.431,43.1
IA,0.487,48.7
KS,0.426,42.6
KY,0.444,44.4
LA,0.358,35.8
ME,0.624,62.4
MD,0.572,57.2
MA,0.626,62.6
MI,0.479,47.9
MN,0.527,52.7
MS,0.334,33.4
MO,0.397,39.7
MT,0.435,43.5
NE,0.482,48.2
NV,0.429,42.9
NH,0.572,57.2
NJ,0.564,56.4
NM,0.557,55.7
NY,0.553,55.3
NC,0.426,42.6
ND,0.394,39.4
OH,0.455,45.5
OK,0.391,39.1
OR,0.547,54.7
PA,0.507,50.7
RI,0.599,59.9
SC,0.395,39.5
SD,0.38,46
TN,0.422,38
TX,0.381,42.2
UT,0.664,38.1
VT,0.529,66.4
VA,0.559,52.9
WA,0.534,55.9
WV,0.387,38.7
WI,0.507,50.7
WY,0.357,35.7
