DATE,ADMIN_DOSE1_DAILY,ADMIN_DOSE1_CUMULATIVE,ADMIN_DOSE2_DAILY,ADMIN_DOSE2_CUMULATIVE,ADMIN_SINGLE_DAILY,ADMIN_SINGLE_CUMULATIVE,ADMIN_ALLDOSES_DAILY,ADMIN_ALLDOSES_7DAYAVG,ADMIN_ALLDOSES_CUMULATIVE,TOTAL_DAILY
12/14/2020,78,78,0,0,0,0,78,0,78,0
12/15/2020,2041,2119,2,2,3,3,2046,0,2124,5
12/16/2020,4516,6635,10,12,1,4,4527,0,6651,11
12/17/2020,4505,11140,13,25,0,4,4518,0,11169,13
12/18/2020,5782,16922,21,46,2,6,5805,0,16974,23
12/19/2020,1685,18607,6,52,3,9,1694,0,18668,9
12/20/2020,1107,19714,1,53,1,10,1109,2825.29,19777,2
12/21/2020,6265,25979,10,63,1,11,6276,3710.71,26053,11
12/22/2020,9748,35727,17,80,2,13,9767,4813.71,35820,19
12/23/2020,14231,49958,27,107,1,14,14259,6204,50079,28
12/24/2020,7196,57154,50,157,1,15,7247,6593.86,57326,51
12/25/2020,179,57333,0,157,0,15,179,5790.14,57505,0
12/26/2020,4324,61657,31,188,0,15,4355,6170.29,61860,31
12/27/2020,3833,65490,6,194,0,15,3839,6560.29,65699,6
12/28/2020,10962,76452,29,223,0,15,10991,7233.86,76690,29
12/29/2020,10704,87156,20,243,2,17,10726,7370.86,87416,22
12/30/2020,12773,99929,49,292,0,17,12822,7165.57,100238,49
12/31/2020,7233,107162,17,309,0,17,7250,7166,107488,17
1/1/2021,166,107328,2,311,1,18,169,7164.57,107657,3
1/2/2021,3807,111135,7,318,2,20,3816,7087.57,111473,9
1/3/2021,3526,114661,16,334,1,21,3543,7045.29,115016,17
1/4/2021,12188,126849,786,1120,0,21,12974,7328.57,127990,786
1/5/2021,13958,140807,2130,3250,0,21,16088,8094.57,144078,2130
1/6/2021,17736,158543,3847,7097,0,21,21583,9346.14,165661,3847
1/7/2021,16511,175054,5020,12117,3,24,21534,11386.71,187195,5023
1/8/2021,16476,191530,5306,17423,0,24,21782,14474.29,208977,5306
1/9/2021,7665,199195,1435,18858,1,25,9101,15229.29,218078,1436
1/10/2021,7841,207036,967,19825,0,25,8808,15981.43,226886,967
1/11/2021,25639,232675,7290,27115,0,25,32929,18832.14,259815,7290
1/12/2021,27896,260571,7762,34877,0,25,35658,21627.86,295473,7762
1/13/2021,31410,291981,9306,44183,1,26,40717,24361.29,336190,9307
1/14/2021,35493,327474,5250,49433,1,27,40744,27105.57,376934,5251
